GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03
Id,Id2,Geography,Total population in occupied housing units:,Owner occupied,Renter occupied
1500000US290370600011,290370600011,"Block Group 1, Census Tract 600.01, Cass County, Missouri",761,681,80
1500000US290370600012,290370600012,"Block Group 2, Census Tract 600.01, Cass County, Missouri",1391,1275,116
1500000US290370600013,290370600013,"Block Group 3, Census Tract 600.01, Cass County, Missouri",1662,1163,499
1500000US290370600021,290370600021,"Block Group 1, Census Tract 600.02, Cass County, Missouri",1402,1172,230
1500000US290370600022,290370600022,"Block Group 2, Census Tract 600.02, Cass County, Missouri",3013,2677,336
1500000US290370600023,290370600023,"Block Group 3, Census Tract 600.02, Cass County, Missouri",2782,2223,559
1500000US290370600024,290370600024,"Block Group 4, Census Tract 600.02, Cass County, Missouri",813,235,578
1500000US290370601001,290370601001,"Block Group 1, Census Tract 601, Cass County, Missouri",671,6,665
1500000US290370601002,290370601002,"Block Group 2, Census Tract 601, Cass County, Missouri",1023,785,238
1500000US290370602001,290370602001,"Block Group 1, Census Tract 602, Cass County, Missouri",3136,2444,692
1500000US290370602002,290370602002,"Block Group 2, Census Tract 602, Cass County, Missouri",845,429,416
1500000US290370602003,290370602003,"Block Group 3, Census Tract 602, Cass County, Missouri",1001,884,117
1500000US290370602004,290370602004,"Block Group 4, Census Tract 602, Cass County, Missouri",1837,1500,337
1500000US290370602005,290370602005,"Block Group 5, Census Tract 602, Cass County, Missouri",1402,1244,158
1500000US290370603011,290370603011,"Block Group 1, Census Tract 603.01, Cass County, Missouri",863,622,241
1500000US290370603012,290370603012,"Block Group 2, Census Tract 603.01, Cass County, Missouri",2380,2135,245
1500000US290370603013,290370603013,"Block Group 3, Census Tract 603.01, Cass County, Missouri",1350,1303,47
1500000US290370603021,290370603021,"Block Group 1, Census Tract 603.02, Cass County, Missouri",2861,2428,433
1500000US290370603022,290370603022,"Block Group 2, Census Tract 603.02, Cass County, Missouri",1666,992,674
1500000US290370603023,290370603023,"Block Group 3, Census Tract 603.02, Cass County, Missouri",1554,1531,23
1500000US290370603031,290370603031,"Block Group 1, Census Tract 603.03, Cass County, Missouri",1968,1935,33
1500000US290370604001,290370604001,"Block Group 1, Census Tract 604, Cass County, Missouri",2438,2364,74
1500000US290370604002,290370604002,"Block Group 2, Census Tract 604, Cass County, Missouri",886,836,50
1500000US290370605001,290370605001,"Block Group 1, Census Tract 605, Cass County, Missouri",1393,1254,139
1500000US290370605002,290370605002,"Block Group 2, Census Tract 605, Cass County, Missouri",1026,905,121
1500000US290370606001,290370606001,"Block Group 1, Census Tract 606, Cass County, Missouri",3584,2810,774
1500000US290370606002,290370606002,"Block Group 2, Census Tract 606, Cass County, Missouri",927,645,282
1500000US290370606003,290370606003,"Block Group 3, Census Tract 606, Cass County, Missouri",1019,707,312
1500000US290370607001,290370607001,"Block Group 1, Census Tract 607, Cass County, Missouri",1335,946,389
1500000US290370607002,290370607002,"Block Group 2, Census Tract 607, Cass County, Missouri",884,816,68
1500000US290370607003,290370607003,"Block Group 3, Census Tract 607, Cass County, Missouri",1383,1241,142
1500000US290370608001,290370608001,"Block Group 1, Census Tract 608, Cass County, Missouri",1212,1140,72
1500000US290370608002,290370608002,"Block Group 2, Census Tract 608, Cass County, Missouri",2456,2160,296
1500000US290370608003,290370608003,"Block Group 3, Census Tract 608, Cass County, Missouri",1538,1420,118
1500000US290370609001,290370609001,"Block Group 1, Census Tract 609, Cass County, Missouri",1096,765,331
1500000US290370609002,290370609002,"Block Group 2, Census Tract 609, Cass County, Missouri",1537,1091,446
1500000US290370609003,290370609003,"Block Group 3, Census Tract 609, Cass County, Missouri",1433,1009,424
1500000US290370609004,290370609004,"Block Group 4, Census Tract 609, Cass County, Missouri",601,325,276
1500000US290370609005,290370609005,"Block Group 5, Census Tract 609, Cass County, Missouri",1109,710,399
1500000US290370609006,290370609006,"Block Group 6, Census Tract 609, Cass County, Missouri",1527,1117,410
1500000US290370610011,290370610011,"Block Group 1, Census Tract 610.01, Cass County, Missouri",2618,2404,214
1500000US290370610012,290370610012,"Block Group 2, Census Tract 610.01, Cass County, Missouri",1347,1268,79
1500000US290370610021,290370610021,"Block Group 1, Census Tract 610.02, Cass County, Missouri",2718,2173,545
1500000US290370610022,290370610022,"Block Group 2, Census Tract 610.02, Cass County, Missouri",1030,991,39
1500000US290370610023,290370610023,"Block Group 3, Census Tract 610.02, Cass County, Missouri",864,823,41
1500000US290370611001,290370611001,"Block Group 1, Census Tract 611, Cass County, Missouri",972,720,252
1500000US290370611002,290370611002,"Block Group 2, Census Tract 611, Cass County, Missouri",986,863,123
1500000US290370611003,290370611003,"Block Group 3, Census Tract 611, Cass County, Missouri",1247,1111,136
1500000US290370611004,290370611004,"Block Group 4, Census Tract 611, Cass County, Missouri",1141,1009,132
1500000US290370612001,290370612001,"Block Group 1, Census Tract 612, Cass County, Missouri",991,884,107
1500000US290370612002,290370612002,"Block Group 2, Census Tract 612, Cass County, Missouri",1204,1065,139
1500000US290370612003,290370612003,"Block Group 3, Census Tract 612, Cass County, Missouri",1102,878,224
1500000US290470200001,290470200001,"Block Group 1, Census Tract 200, Clay County, Missouri",346,20,326
1500000US290470201001,290470201001,"Block Group 1, Census Tract 201, Clay County, Missouri",2050,867,1183
1500000US290470201002,290470201002,"Block Group 2, Census Tract 201, Clay County, Missouri",1643,254,1389
1500000US290470202011,290470202011,"Block Group 1, Census Tract 202.01, Clay County, Missouri",849,576,273
1500000US290470202012,290470202012,"Block Group 2, Census Tract 202.01, Clay County, Missouri",1163,756,407
1500000US290470202013,290470202013,"Block Group 3, Census Tract 202.01, Clay County, Missouri",1073,317,756
1500000US290470202014,290470202014,"Block Group 4, Census Tract 202.01, Clay County, Missouri",1011,524,487
1500000US290470202021,290470202021,"Block Group 1, Census Tract 202.02, Clay County, Missouri",2302,2233,69
1500000US290470202022,290470202022,"Block Group 2, Census Tract 202.02, Clay County, Missouri",833,715,118
1500000US290470203001,290470203001,"Block Group 1, Census Tract 203, Clay County, Missouri",714,380,334
1500000US290470203002,290470203002,"Block Group 2, Census Tract 203, Clay County, Missouri",1154,790,364
1500000US290470203003,290470203003,"Block Group 3, Census Tract 203, Clay County, Missouri",586,504,82
1500000US290470203004,290470203004,"Block Group 4, Census Tract 203, Clay County, Missouri",872,817,55
1500000US290470203005,290470203005,"Block Group 5, Census Tract 203, Clay County, Missouri",1877,879,998
1500000US290470204001,290470204001,"Block Group 1, Census Tract 204, Clay County, Missouri",1028,876,152
1500000US290470204002,290470204002,"Block Group 2, Census Tract 204, Clay County, Missouri",1286,463,823
1500000US290470205001,290470205001,"Block Group 1, Census Tract 205, Clay County, Missouri",1482,1030,452
1500000US290470205002,290470205002,"Block Group 2, Census Tract 205, Clay County, Missouri",770,225,545
1500000US290470205003,290470205003,"Block Group 3, Census Tract 205, Clay County, Missouri",1140,761,379
1500000US290470205004,290470205004,"Block Group 4, Census Tract 205, Clay County, Missouri",569,200,369
