GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03
Id,Id2,Geography,Total population in occupied housing units:,Owner occupied,Renter occupied
1500000US290370600011,290370600011,"Block Group 1, Census Tract 600.01, Cass County, Missouri",9,7,2
1500000US290370600012,290370600012,"Block Group 2, Census Tract 600.01, Cass County, Missouri",48,47,1
1500000US290370600013,290370600013,"Block Group 3, Census Tract 600.01, Cass County, Missouri",57,4,53
1500000US290370600021,290370600021,"Block Group 1, Census Tract 600.02, Cass County, Missouri",20,20,0
1500000US290370600022,290370600022,"Block Group 2, Census Tract 600.02, Cass County, Missouri",39,28,11
1500000US290370600023,290370600023,"Block Group 3, Census Tract 600.02, Cass County, Missouri",67,47,20
1500000US290370600024,290370600024,"Block Group 4, Census Tract 600.02, Cass County, Missouri",35,0,35
1500000US290370601001,290370601001,"Block Group 1, Census Tract 601, Cass County, Missouri",221,6,215
1500000US290370601002,290370601002,"Block Group 2, Census Tract 601, Cass County, Missouri",44,20,24
1500000US290370602001,290370602001,"Block Group 1, Census Tract 602, Cass County, Missouri",26,15,11
1500000US290370602002,290370602002,"Block Group 2, Census Tract 602, Cass County, Missouri",3,3,0
1500000US290370602003,290370602003,"Block Group 3, Census Tract 602, Cass County, Missouri",41,32,9
1500000US290370602004,290370602004,"Block Group 4, Census Tract 602, Cass County, Missouri",31,13,18
1500000US290370602005,290370602005,"Block Group 5, Census Tract 602, Cass County, Missouri",26,18,8
1500000US290370603011,290370603011,"Block Group 1, Census Tract 603.01, Cass County, Missouri",22,19,3
1500000US290370603012,290370603012,"Block Group 2, Census Tract 603.01, Cass County, Missouri",91,88,3
1500000US290370603013,290370603013,"Block Group 3, Census Tract 603.01, Cass County, Missouri",51,51,0
1500000US290370603021,290370603021,"Block Group 1, Census Tract 603.02, Cass County, Missouri",26,24,2
1500000US290370603022,290370603022,"Block Group 2, Census Tract 603.02, Cass County, Missouri",8,3,5
1500000US290370603023,290370603023,"Block Group 3, Census Tract 603.02, Cass County, Missouri",7,7,0
