GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004
Id,Id2,Geography,Population in occupied housing units:,Owned with a mortgage or a loan,Owned free and clear,Renter occupied
1500000US290370600011,290370600011,"Block Group 1, Census Tract 600.01, Cass County, Missouri",911,634,217,60
1500000US290370600012,290370600012,"Block Group 2, Census Tract 600.01, Cass County, Missouri",1439,1012,238,189
1500000US290370600013,290370600013,"Block Group 3, Census Tract 600.01, Cass County, Missouri",1471,737,283,451
1500000US290370600031,290370600031,"Block Group 1, Census Tract 600.03, Cass County, Missouri",1127,477,247,403
1500000US290370600032,290370600032,"Block Group 2, Census Tract 600.03, Cass County, Missouri",1795,1214,248,333
1500000US290370600041,290370600041,"Block Group 1, Census Tract 600.04, Cass County, Missouri",1371,901,132,338
1500000US290370600042,290370600042,"Block Group 2, Census Tract 600.04, Cass County, Missouri",896,316,278,302
1500000US290370600043,290370600043,"Block Group 3, Census Tract 600.04, Cass County, Missouri",799,186,150,463
1500000US290370600044,290370600044,"Block Group 4, Census Tract 600.04, Cass County, Missouri",1872,1591,161,120
1500000US290370601001,290370601001,"Block Group 1, Census Tract 601, Cass County, Missouri",363,0,5,358
1500000US290370601002,290370601002,"Block Group 2, Census Tract 601, Cass County, Missouri",953,587,63,303
1500000US290370602021,290370602021,"Block Group 1, Census Tract 602.02, Cass County, Missouri",1349,993,194,162
1500000US290370602022,290370602022,"Block Group 2, Census Tract 602.02, Cass County, Missouri",844,683,61,100
1500000US290370602023,290370602023,"Block Group 3, Census Tract 602.02, Cass County, Missouri",2215,1480,320,415
1500000US290370603011,290370603011,"Block Group 1, Census Tract 603.01, Cass County, Missouri",2573,1705,371,497
1500000US290370603012,290370603012,"Block Group 2, Census Tract 603.01, Cass County, Missouri",2679,1906,378,395
1500000US290370603013,290370603013,"Block Group 3, Census Tract 603.01, Cass County, Missouri",2544,1883,125,536
1500000US290370603021,290370603021,"Block Group 1, Census Tract 603.02, Cass County, Missouri",3283,2289,463,531
1500000US290370603022,290370603022,"Block Group 2, Census Tract 603.02, Cass County, Missouri",1640,638,346,656
1500000US290370603023,290370603023,"Block Group 3, Census Tract 603.02, Cass County, Missouri",2123,1733,341,49
1500000US290370603051,290370603051,"Block Group 1, Census Tract 603.05, Cass County, Missouri",3908,3396,353,159
1500000US290370604001,290370604001,"Block Group 1, Census Tract 604, Cass County, Missouri",1552,1115,356,81
1500000US290370604002,290370604002,"Block Group 2, Census Tract 604, Cass County, Missouri",1007,691,239,77
1500000US290370604003,290370604003,"Block Group 3, Census Tract 604, Cass County, Missouri",1748,1402,313,33
1500000US290370605001,290370605001,"Block Group 1, Census Tract 605, Cass County, Missouri",1782,1261,375,146
1500000US290370605002,290370605002,"Block Group 2, Census Tract 605, Cass County, Missouri",1137,729,310,98
1500000US290370606001,290370606001,"Block Group 1, Census Tract 606, Cass County, Missouri",2295,1534,208,553
1500000US290370606002,290370606002,"Block Group 2, Census Tract 606, Cass County, Missouri",929,503,120,306
1500000US290370606003,290370606003,"Block Group 3, Census Tract 606, Cass County, Missouri",1275,555,155,565
1500000US290370606004,290370606004,"Block Group 4, Census Tract 606, Cass County, Missouri",3085,2252,281,552
1500000US290370607001,290370607001,"Block Group 1, Census Tract 607, Cass County, Missouri",1334,716,184,434
1500000US290370607002,290370607002,"Block Group 2, Census Tract 607, Cass County, Missouri",897,542,249,106
1500000US290370607003,290370607003,"Block Group 3, Census Tract 607, Cass County, Missouri",1432,984,283,165
