GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004
Id,Id2,Geography,Population in occupied housing units:,Owned with a mortgage or a loan,Owned free and clear,Renter occupied
1500000US290370600011,290370600011,"Block Group 1, Census Tract 600.01, Cass County, Missouri",20,16,2,2
1500000US290370600012,290370600012,"Block Group 2, Census Tract 600.01, Cass County, Missouri",85,48,7,30
1500000US290370600013,290370600013,"Block Group 3, Census Tract 600.01, Cass County, Missouri",108,50,7,51
1500000US290370600031,290370600031,"Block Group 1, Census Tract 600.03, Cass County, Missouri",145,57,46,42
1500000US290370600032,290370600032,"Block Group 2, Census Tract 600.03, Cass County, Missouri",103,68,24,11
1500000US290370600041,290370600041,"Block Group 1, Census Tract 600.04, Cass County, Missouri",66,50,0,16
1500000US290370600042,290370600042,"Block Group 2, Census Tract 600.04, Cass County, Missouri",425,164,107,154
1500000US290370600043,290370600043,"Block Group 3, Census Tract 600.04, Cass County, Missouri",124,20,16,88
1500000US290370600044,290370600044,"Block Group 4, Census Tract 600.04, Cass County, Missouri",74,63,4,7
1500000US290370601001,290370601001,"Block Group 1, Census Tract 601, Cass County, Missouri",91,0,0,91
1500000US290370601002,290370601002,"Block Group 2, Census Tract 601, Cass County, Missouri",53,28,4,21
1500000US290370602021,290370602021,"Block Group 1, Census Tract 602.02, Cass County, Missouri",55,51,3,1
1500000US290370602022,290370602022,"Block Group 2, Census Tract 602.02, Cass County, Missouri",25,20,3,2
1500000US290370602023,290370602023,"Block Group 3, Census Tract 602.02, Cass County, Missouri",85,66,3,16
1500000US290370603011,290370603011,"Block Group 1, Census Tract 603.01, Cass County, Missouri",51,37,0,14
1500000US290370603012,290370603012,"Block Group 2, Census Tract 603.01, Cass County, Missouri",69,64,0,5
1500000US290370603013,290370603013,"Block Group 3, Census Tract 603.01, Cass County, Missouri",121,89,3,29
1500000US290370603021,290370603021,"Block Group 1, Census Tract 603.02, Cass County, Missouri",68,56,3,9
1500000US290370603022,290370603022,"Block Group 2, Census Tract 603.02, Cass County, Missouri",24,7,5,12
1500000US290370603023,290370603023,"Block Group 3, Census Tract 603.02, Cass County, Missouri",77,62,4,11
1500000US290370603051,290370603051,"Block Group 1, Census Tract 603.05, Cass County, Missouri",138,123,1,14
